Tier,Message Type,Template
Basic,Welcome,Hey babe 😘 Just saw you followed me — you’re in for a treat. Wanna see my fav clip? I’ve got something *exclusive* just for new subs 💕
Basic,Inactivity Nudge,Don’t be shy… I don’t bite (unless you ask nicely 😉). Just posted something spicy — want a little taste?
Basic,PPV Offer,Only sending this to my newest fans... Unlock this for just $5 🔥 — I don’t usually show *this much* 😳
Engaged,Reward,I see you’ve been lovin’ my posts 🥰 Wanna go deeper? Sending a lil bonus just for YOU 💋
Engaged,Loyalty,I notice when someone shows love like you do 😍 I’ve got a sexy bundle deal if you’re ready to upgrade…
Engaged,Flirt,If I had a fave follower... it might be you 🫣 Check your unlocks — you’ve earned a surprise 🔥
VIP,Exclusive,"Only my VIPs get this 👑 Filmed something special today — raw, real, just how you like it 😉 Want it first?"
VIP,Custom Offer,Hey love — feeling naughty tonight. Want me to make you something *custom*? You know how much I love spoiling you 😘
VIP,Priority,You always make my day 💖 Just dropped early access to my next drop... only my VIPs are seeing it before launch 😏
Churn Risk,Re-engagement,Missin’ our chats 😢 I just dropped something HOT — want me to show you? First unlock back is 50% off 🔥
Churn Risk,Urgent Pull,"Where’d you go, babe? I saved this clip just for you... If I send it now, will you come back to me?"
Churn Risk,Final Nudge,This might be my last message unless you peek in soon 😔 I’ve got one last surprise waiting — say hi if you still want it 💋
Lapsed,Soft Comeback,"Hey stranger… just thinking about you 🖤 I don’t know if you’re still watching, but I kept one last treat for you. Want it?"
Lapsed,FOMO,"Everyone else moved on, but I kept hoping you’d come back… my VIPs got wild this week. I’d love for you to see it 🥺"
Lapsed,Goodbye,"If this is goodbye, just know I loved having you here. You’re always welcome back anytime ❤️"
